AppName,word,count,total_tokens,tf,df_platforms,idf,tfidf
Amazon shopping,22nd,16,778915,2.0541394118742096e-05,4,1.0,2.0541394118742096e-05
Amazon shopping,23rd,27,778915,3.466360257537729e-05,4,1.0,3.466360257537729e-05
Amazon shopping,24hr,44,778915,5.6488833826540764e-05,4,1.0,5.6488833826540764e-05
Amazon shopping,24th,19,778915,2.439290551600624e-05,4,1.0,2.439290551600624e-05
Amazon shopping,250,35,778915,4.4934299634748335e-05,4,1.0,4.4934299634748335e-05
Amazon shopping,25th,36,778915,4.6218136767169716e-05,3,1.2231435513142097,5.653141594052182e-05
Amazon shopping,26th,26,778915,3.3379765442955906e-05,4,1.0,3.3379765442955906e-05
Amazon shopping,27th,23,778915,2.9528254045691763e-05,4,1.0,2.9528254045691763e-05
Amazon shopping,28th,19,778915,2.439290551600624e-05,4,1.0,2.439290551600624e-05
Amazon shopping,29th,21,778915,2.6960579780849e-05,4,1.0,2.6960579780849e-05
Amazon shopping,2day,60,778915,7.703022794528286e-05,4,1.0,7.703022794528286e-05
Amazon shopping,2fa,20,778915,2.567674264842762e-05,4,1.0,2.567674264842762e-05
Amazon shopping,2month,8,778915,1.0270697059371048e-05,4,1.0,1.0270697059371048e-05
Amazon shopping,2nd,191,778915,0.0002452128922924838,4,1.0,0.0002452128922924838
Amazon shopping,2week,10,778915,1.283837132421381e-05,4,1.0,1.283837132421381e-05
Amazon shopping,2xl,8,778915,1.0270697059371048e-05,4,1.0,1.0270697059371048e-05
Amazon shopping,2yr,4,778915,5.135348529685524e-06,4,1.0,5.135348529685524e-06
Amazon shopping,300,122,778915,0.0001566281301554085,4,1.0,0.0001566281301554085
Amazon shopping,3000,9,778915,1.1554534191792429e-05,4,1.0,1.1554534191792429e-05
Amazon shopping,30th,27,778915,3.466360257537729e-05,4,1.0,3.466360257537729e-05
Amazon shopping,31st,9,778915,1.1554534191792429e-05,4,1.0,1.1554534191792429e-05
Amazon shopping,350,15,778915,1.9257556986320715e-05,4,1.0,1.9257556986320715e-05
Amazon shopping,360,19,778915,2.439290551600624e-05,3,1.2231435513142097,2.9836025079719846e-05
Amazon shopping,3day,11,778915,1.4122208456635191e-05,4,1.0,1.4122208456635191e-05
Amazon shopping,3rd,329,778915,0.00042238241656663433,4,1.0,0.00042238241656663433
Amazon shopping,3week,5,778915,6.419185662106905e-06,4,1.0,6.419185662106905e-06
Amazon shopping,3xl,11,778915,1.4122208456635191e-05,4,1.0,1.4122208456635191e-05
Amazon shopping,400,63,778915,8.088173934254701e-05,4,1.0,8.088173934254701e-05
Amazon shopping,450,9,778915,1.1554534191792429e-05,4,1.0,1.1554534191792429e-05
Amazon shopping,4star,5,778915,6.419185662106905e-06,4,1.0,6.419185662106905e-06
Amazon shopping,4th,67,778915,8.601708787223253e-05,4,1.0,8.601708787223253e-05
Amazon shopping,4xl,8,778915,1.0270697059371048e-05,3,1.2231435513142097,1.2562536875671515e-05
Amazon shopping,500,132,778915,0.0001694665014796223,4,1.0,0.0001694665014796223
Amazon shopping,5000,9,778915,1.1554534191792429e-05,4,1.0,1.1554534191792429e-05
Amazon shopping,5day,12,778915,1.5406045589056572e-05,4,1.0,1.5406045589056572e-05
